"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-Special Education","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Special Education","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-Special Education","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Special Education","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Other Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Total Cohort Count","Number","29"
"Amistad Academy District","","2010-2011","Special Education","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number","17"
"Amistad Academy District","","2010-2011","Special Education","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","58.6"
"Amistad Academy District","","2010-2011","Special Education","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2010-2011","Special Education","Other Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Special Education","Other Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Total Cohort Count","Number","21"
"Amistad Academy District","","2011-2012","Special Education","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number","15"
"Amistad Academy District","","2011-2012","Special Education","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","71.4"
"Amistad Academy District","","2011-2012","Special Education","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2011-2012","Special Education","Other Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Special Education","Other Rate","Percent","-6666"
"Amistad Academy District","","2012-2013","Non-Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2012-2013","Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2012-2013","Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2013-2014","Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2013-2014","Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","Non-Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2014-2015","Special Education","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2014-2015","Special Education","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Special Education","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Special Education","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-Special Education","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Special Education","Other Rate","Percent","-9999"
"Andover School District","","2010-2011","Non-Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Non-Special Education","Other Count","Number","-6666"
"Andover School District","","2010-2011","Special Education","Other Count","Number","-6666"
"Andover School District","","2010-2011","Non-Special Education","Other Rate","Percent","-6666"
"Andover School District","","2010-2011","Special Education","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-Special Education","Other Count","Number","-6666"
"Andover School District","","2011-2012","Special Education","Other Count","Number","-6666"
"Andover School District","","2011-2012","Non-Special Education","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Special Education","Other Rate","Percent","-6666"
"Andover School District","","2012-2013","Non-Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","Non-Special Education","Other Count","Number","-6666"
"Andover School District","","2012-2013","Special Education","Other Count","Number","-6666"
"Andover School District","","2012-2013","Non-Special Education","Other Rate","Percent","-6666"
"Andover School District","","2012-2013","Special Education","Other Rate","Percent","-6666"
"Andover School District","","2013-2014","Non-Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2013-2014","Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2013-2014","Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2013-2014","Non-Special Education","Other Count","Number","-6666"
"Andover School District","","2013-2014","Special Education","Other Count","Number","-6666"
"Andover School District","","2013-2014","Non-Special Education","Other Rate","Percent","-6666"
"Andover School District","","2013-2014","Special Education","Other Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2014-2015","Special Education","Total Cohort Count","Number","-6666"
"Andover School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2014-2015","Special Education","Four Year Graduation Count","Number","-6666"
"Andover School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-Special Education","Other Count","Number","-6666"
"Andover School District","","2014-2015","Special Education","Other Count","Number","-6666"
"Andover School District","","2014-2015","Non-Special Education","Other Rate","Percent","-6666"
"Andover School District","","2014-2015","Special Education","Other Rate","Percent","-6666"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Total Cohort Count","Number","166"
"Ansonia School District","900901220","2010-2011","Special Education","Total Cohort Count","Number","22"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Four Year Graduation Count","Number","121"
"Ansonia School District","900901220","2010-2011","Special Education","Four Year Graduation Count","Number","9"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent","72.9"
"Ansonia School District","900901220","2010-2011","Special Education","Four Year Graduation Rate","Percent","40.9"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number","15"
"Ansonia School District","900901220","2010-2011","Special Education","Still Enrolled After Four Years Count","Number","8"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent","9.0"
"Ansonia School District","900901220","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent","36.4"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Other Count","Number","-9999"
"Ansonia School District","900901220","2010-2011","Special Education","Other Count","Number","-9999"
"Ansonia School District","900901220","2010-2011","Non-Special Education","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2010-2011","Special Education","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Total Cohort Count","Number","180"
"Ansonia School District","900901220","2011-2012","Special Education","Total Cohort Count","Number","25"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Four Year Graduation Count","Number","140"
"Ansonia School District","900901220","2011-2012","Special Education","Four Year Graduation Count","Number","16"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent","77.8"
"Ansonia School District","900901220","2011-2012","Special Education","Four Year Graduation Rate","Percent","64.0"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","Special Education","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Other Count","Number","30"
"Ansonia School District","900901220","2011-2012","Special Education","Other Count","Number","7"
"Ansonia School District","900901220","2011-2012","Non-Special Education","Other Rate","Percent","16.7"
"Ansonia School District","900901220","2011-2012","Special Education","Other Rate","Percent","28.0"
"Ansonia School District","900901220","2012-2013","Non-Special Education","Total Cohort Count","Number","187"
"Ansonia School District","900901220","2012-2013","Special Education","Total Cohort Count","Number","25"
"Ansonia School District","900901220","2012-2013","Non-Special Education","Four Year Graduation Count","Number","144"
"Ansonia School District","900901220","2012-2013","Special Education","Four Year Graduation Count","Number","16"
