"Four-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"Department of Mental Health and Addiction Services","Non-Special Education","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*","*","*","*","*"
"Derby School District","Non-Special Education",80,"*","*",14,17.5,"*","*"
"Derby School District","Special Education",11,"*","*",6,54.5,"*","*"
"East Granby School District","Non-Special Education",62,61,98.4,"*","*","*","*"
"East Granby School District","Special Education",9,6,66.7,"*","*","*","*"
"East Haddam School District","Non-Special Education",85,83,97.6,"*","*","*","*"
"East Haddam School District","Special Education",15,13,86.7,"*","*","*","*"
"East Hampton School District","Non-Special Education",120,119,99.2,"*","*","*","*"
"East Hampton School District","Special Education",12,8,66.7,"*","*","*","*"
"East Hartford School District","Non-Special Education",468,382,81.6,28,6.0,58,12.4
"East Hartford School District","Special Education",88,50,56.8,17,19.3,20,22.7
"East Haven School District","Non-Special Education",215,167,77.7,"*","*",34,15.8
"East Haven School District","Special Education",31,15,48.4,"*","*",11,35.5
"East Lyme School District","Non-Special Education",262,258,98.5,"*","*","*","*"
"East Lyme School District","Special Education",49,35,71.4,"*","*","*","*"
"East Windsor School District","Non-Special Education",76,67,88.2,"*","*","*","*"
"East Windsor School District","Special Education",20,12,60.0,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",58,48,82.8,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",11,6,54.5,"*","*","*","*"
"Ellington School District","Non-Special Education",179,167,93.3,"*","*","*","*"
"Ellington School District","Special Education",19,15,78.9,"*","*","*","*"
"Elm City College Preparatory School District","Non-Special Education",13,8,61.5,"*","*","*","*"
"Enfield School District","Non-Special Education",379,346,91.3,9,2.4,24,6.3
"Enfield School District","Special Education",66,43,65.2,11,16.7,12,18.2
"Explorations District","Non-Special Education",24,"*","*","*","*","*","*"
"Explorations District","Special Education",8,"*","*","*","*","*","*"
"Fairfield School District","Non-Special Education",627,600,95.7,16,2.6,"*","*"
"Fairfield School District","Special Education",81,56,69.1,21,25.9,"*","*"
"Farmington School District","Non-Special Education",290,284,97.9,"*","*","*","*"
"Farmington School District","Special Education",36,26,72.2,"*","*","*","*"
"Glastonbury School District","Non-Special Education",488,484,99.2,"*","*","*","*"
"Glastonbury School District","Special Education",64,52,81.3,"*","*","*","*"
"Granby School District","Non-Special Education",184,183,99.5,"*","*","*","*"
"Granby School District","Special Education",13,9,69.2,"*","*","*","*"
"Greenwich School District","Non-Special Education",594,573,96.5,12,2.0,"*","*"
"Greenwich School District","Special Education",97,82,84.5,14,14.4,"*","*"
"Griswold School District","Non-Special Education",149,135,90.6,"*","*","*","*"
"Griswold School District","Special Education",21,13,61.9,"*","*","*","*"
"Groton School District","Non-Special Education",280,242,86.4,6,2.1,32,11.4
"Groton School District","Special Education",47,27,57.4,12,25.5,8,17.0
"Guilford School District","Non-Special Education",242,233,96.3,"*","*","*","*"
"Guilford School District","Special Education",39,29,74.4,"*","*","*","*"
"Hamden School District","Non-Special Education",388,339,87.4,28,7.2,"*","*"
"Hamden School District","Special Education",67,49,73.1,15,22.4,"*","*"
"Hartford School District","Non-Special Education",1175,894,76.1,51,4.3,226,19.2
"Hartford School District","Special Education",243,115,47.3,42,17.3,85,35.0
"Killingly School District","Non-Special Education",190,151,79.5,16,8.4,23,12.1
"Killingly School District","Special Education",33,16,48.5,9,27.3,8,24.2
"Learn","Non-Special Education",36,28,77.8,"*","*","*","*"
"Learn","Special Education",7,7,100.0,"*","*","*","*"
"Lebanon School District","Non-Special Education",109,101,92.7,"*","*","*","*"
"Lebanon School District","Special Education",9,9,100.0,"*","*","*","*"
"Ledyard School District","Non-Special Education",203,187,92.1,6,3.0,"*","*"
"Ledyard School District","Special Education",29,21,72.4,7,24.1,"*","*"
"Lisbon School District","Non-Special Education","*","*","*","*","*","*","*"
"Lisbon School District","Special Education","*","*","*","*","*","*","*"
"Litchfield School District","Non-Special Education",79,78,98.7,"*","*","*","*"
"Litchfield School District","Special Education",9,9,100.0,"*","*","*","*"
"Madison School District","Non-Special Education",277,276,99.6,"*","*","*","*"
"Madison School District","Special Education",40,37,92.5,"*","*","*","*"
"Manchester School District","Non-Special Education",406,324,79.8,29,7.1,53,13.1
"Manchester School District","Special Education",73,34,46.6,21,28.8,18,24.7
"Meriden School District","Non-Special Education",534,404,75.7,28,5.2,101,18.9
"Meriden School District","Special Education",105,44,41.9,31,29.5,29,27.6
"Middletown School District","Non-Special Education",316,267,84.5,12,3.8,37,11.7
"Middletown School District","Special Education",63,40,63.5,16,25.4,7,11.1
"Milford School District","Non-Special Education",427,385,90.2,29,6.8,"*","*"
"Milford School District","Special Education",98,61,62.2,33,33.7,"*","*"
"Monroe School District","Non-Special Education",276,272,98.6,"*","*","*","*"
"Monroe School District","Special Education",33,28,84.8,"*","*","*","*"
"Montville School District","Non-Special Education",161,143,88.8,"*","*","*","*"
"Montville School District","Special Education",27,18,66.7,"*","*","*","*"
"Naugatuck School District","Non-Special Education",282,232,82.3,21,7.4,29,10.3
"Naugatuck School District","Special Education",53,29,54.7,13,24.5,11,20.8
"New Britain School District","Non-Special Education",541,352,65.1,56,10.4,133,24.6
"New Britain School District","Special Education",113,46,40.7,35,31.0,32,28.3
"New Canaan School District","Non-Special Education",295,291,98.6,"*","*","*","*"
"New Canaan School District","Special Education",44,40,90.9,"*","*","*","*"
"New Fairfield School District","Non-Special Education",233,224,96.1,"*","*","*","*"
"New Fairfield School District","Special Education",25,23,92.0,"*","*","*","*"
"New Haven School District","Non-Special Education",1167,860,73.7,66,5.7,241,20.7
"New Haven School District","Special Education",148,79,53.4,37,25.0,32,21.6
"New London School District","Non-Special Education",220,150,68.2,19,8.6,51,23.2
"New London School District","Special Education",37,15,40.5,8,21.6,14,37.8
"New Milford School District","Non-Special Education",337,309,91.7,"*","*",23,6.8
"New Milford School District","Special Education",55,31,56.4,"*","*",10,18.2
"Newington School District","Non-Special Education",337,316,93.8,6,1.8,15,4.5
"Newington School District","Special Education",39,23,59.0,10,25.6,6,15.4
"Newtown School District","Non-Special Education",428,415,97.0,10,2.3,"*","*"
"Newtown School District","Special Education",43,28,65.1,14,32.6,"*","*"
"North Branford School District","Non-Special Education",149,144,96.6,"*","*","*","*"
"North Branford School District","Special Education",21,19,90.5,"*","*","*","*"
"North Haven School District","Non-Special Education",274,252,92.0,"*","*","*","*"
"North Haven School District","Special Education",40,23,57.5,"*","*","*","*"
"North Stonington School District","Non-Special Education","*","*","*","*","*","*","*"
"North Stonington School District","Special Education","*","*","*","*","*","*","*"
"Norwalk School District","Non-Special Education",698,602,86.2,22,3.2,74,10.6
"Norwalk School District","Special Education",82,59,72.0,13,15.9,10,12.2
"Norwich Free Academy District","Non-Special Education",508,446,87.8,16,3.1,46,9.1
"Norwich Free Academy District","Special Education",107,53,49.5,37,34.6,17,15.9
"Old Saybrook School District","Non-Special Education",129,123,95.3,"*","*","*","*"
"Old Saybrook School District","Special Education",10,9,90.0,"*","*","*","*"
"Oxford School District","Non-Special Education",146,144,98.6,"*","*","*","*"
"Oxford School District","Special Education",9,7,77.8,"*","*","*","*"
"Plainfield School District","Non-Special Education",170,152,89.4,10,5.9,"*","*"
"Plainfield School District","Special Education",33,20,60.6,9,27.3,"*","*"
"Plainville School District","Non-Special Education",176,162,92.0,"*","*","*","*"
"Plainville School District","Special Education",30,21,70.0,"*","*","*","*"
"Plymouth School District","Non-Special Education",117,101,86.3,"*","*","*","*"
"Plymouth School District","Special Education",11,8,72.7,"*","*","*","*"
"Portland School District","Non-Special Education",86,"*","*","*","*","*","*"
"Portland School District","Special Education",7,"*","*","*","*","*","*"
"Putnam School District","Non-Special Education",76,59,77.6,"*","*","*","*"
"Putnam School District","Special Education",20,15,75.0,"*","*","*","*"
"Regional School District 01","Non-Special Education",97,89,91.8,"*","*","*","*"
"Regional School District 01","Special Education",12,10,83.3,"*","*","*","*"
"Regional School District 04","Non-Special Education",142,139,97.9,"*","*","*","*"
"Regional School District 04","Special Education",21,16,76.2,"*","*","*","*"
"Regional School District 05","Non-Special Education",352,342,97.2,"*","*","*","*"
"Regional School District 05","Special Education",44,38,86.4,"*","*","*","*"
"Regional School District 06","Non-Special Education",84,81,96.4,"*","*","*","*"
"Regional School District 06","Special Education",13,12,92.3,"*","*","*","*"
"Regional School District 07","Non-Special Education",169,163,96.4,"*","*","*","*"
"Regional School District 07","Special Education",25,21,84.0,"*","*","*","*"
"Regional School District 08","Non-Special Education",246,231,93.9,8,3.3,"*","*"
"Regional School District 08","Special Education",39,31,79.5,6,15.4,"*","*"
"Regional School District 09","Non-Special Education",209,204,97.6,"*","*","*","*"
"Regional School District 09","Special Education",31,22,71.0,"*","*","*","*"
"Regional School District 10","Non-Special Education",174,168,96.6,"*","*","*","*"
"Regional School District 10","Special Education",24,15,62.5,"*","*","*","*"
"Regional School District 11","Non-Special Education",31,28,90.3,"*","*","*","*"
"Regional School District 11","Special Education",13,10,76.9,"*","*","*","*"
"Regional School District 12","Non-Special Education",72,66,91.7,"*","*","*","*"
"Regional School District 12","Special Education",19,12,63.2,"*","*","*","*"
"Regional School District 13","Non-Special Education",127,125,98.4,"*","*","*","*"
"Regional School District 13","Special Education",26,19,73.1,"*","*","*","*"
"Regional School District 14","Non-Special Education",175,166,94.9,"*","*","*","*"
"Regional School District 14","Special Education",26,21,80.8,"*","*","*","*"
"Regional School District 15","Non-Special Education",270,260,96.3,7,2.6,"*","*"
"Regional School District 15","Special Education",50,42,84.0,6,12.0,"*","*"
"Regional School District 16","Non-Special Education",173,158,91.3,"*","*","*","*"
"Regional School District 16","Special Education",13,8,61.5,"*","*","*","*"
"Regional School District 17","Non-Special Education",135,134,99.3,"*","*","*","*"
"Regional School District 17","Special Education",29,24,82.8,"*","*","*","*"
"Regional School District 18","Non-Special Education",99,97,98.0,"*","*","*","*"
"Regional School District 18","Special Education",15,11,73.3,"*","*","*","*"
"Regional School District 19","Non-Special Education",267,252,94.4,8,3.0,7,2.6
"Regional School District 19","Special Education",49,25,51.0,18,36.7,6,12.2
"Ridgefield School District","Non-Special Education",372,366,98.4,"*","*","*","*"
"Ridgefield School District","Special Education",42,32,76.2,"*","*","*","*"
"Rocky Hill School District","Non-Special Education",153,140,91.5,"*","*","*","*"
"Rocky Hill School District","Special Education",24,19,79.2,"*","*","*","*"
"Seymour School District","Non-Special Education",163,143,87.7,"*","*","*","*"
"Seymour School District","Special Education",18,12,66.7,"*","*","*","*"
"Shelton School District","Non-Special Education",368,344,93.5,11,3.0,"*","*"
"Shelton School District","Special Education",26,11,42.3,11,42.3,"*","*"
"Simsbury School District","Non-Special Education",351,346,98.6,"*","*","*","*"
"Simsbury School District","Special Education",49,43,87.8,"*","*","*","*"
"Somers School District","Non-Special Education",131,129,98.5,"*","*","*","*"
"Somers School District","Special Education",15,12,80.0,"*","*","*","*"
"South Windsor School District","Non-Special Education",341,327,95.9,"*","*","*","*"
"South Windsor School District","Special Education",45,37,82.2,"*","*","*","*"
"Southington School District","Non-Special Education",425,397,93.4,14,3.3,14,3.3
"Southington School District","Special Education",65,49,75.4,9,13.8,7,10.8
"Stafford School District","Non-Special Education",117,106,90.6,"*","*","*","*"
"Stafford School District","Special Education",12,6,50.0,"*","*","*","*"
"Stamford Academy District","Non-Special Education",31,"*","*","*","*","*","*"
"Stamford Academy District","Special Education",6,"*","*","*","*","*","*"
"Stamford School District","Non-Special Education",1100,986,89.6,43,3.9,71,6.5
"Stamford School District","Special Education",118,97,82.2,12,10.2,9,7.6
"Stonington School District","Non-Special Education",175,172,98.3,"*","*","*","*"
"Stonington School District","Special Education",27,20,74.1,"*","*","*","*"
"Stratford School District","Non-Special Education",493,464,94.1,6,1.2,23,4.7
"Stratford School District","Special Education",76,40,52.6,25,32.9,11,14.5
"Suffield School District","Non-Special Education",197,187,94.9,"*","*","*","*"
"Suffield School District","Special Education",23,17,73.9,"*","*","*","*"
"The Bridge Academy District","Non-Special Education",30,"*","*","*","*","*","*"
"The Bridge Academy District","Special Education",6,"*","*","*","*","*","*"
"The Gilbert School District","Non-Special Education",78,64,82.1,"*","*","*","*"
"The Gilbert School District","Special Education",16,7,43.8,"*","*","*","*"
"Thomaston School District","Non-Special Education",66,63,95.5,"*","*","*","*"
"Thomaston School District","Special Education",14,10,71.4,"*","*","*","*"
"Thompson School District","Non-Special Education",76,69,90.8,"*","*","*","*"
"Thompson School District","Special Education",11,9,81.8,"*","*","*","*"
"Tolland School District","Non-Special Education",222,212,95.5,"*","*","*","*"
"Tolland School District","Special Education",22,17,77.3,"*","*","*","*"
"Torrington School District","Non-Special Education",230,200,87.0,16,7.0,"*","*"
"Torrington School District","Special Education",48,35,72.9,9,18.8,"*","*"
"Trumbull School District","Non-Special Education",515,506,98.3,"*","*","*","*"
"Trumbull School District","Special Education",35,32,91.4,"*","*","*","*"
"Unified School District #1","Non-Special Education",255,"*","*",76,29.8,177,69.4
"Unified School District #1","Special Education",117,"*","*",53,45.3,61,52.1
"Unified School District #2","Non-Special Education",34,"*","*","*","*",19,55.9
"Unified School District #2","Special Education",29,"*","*","*","*",17,58.6
"Vernon School District","Non-Special Education",207,177,85.5,"*","*",25,12.1
"Vernon School District","Special Education",35,20,57.1,"*","*",6,17.1
"Wallingford School District","Non-Special Education",464,435,93.8,13,2.8,16,3.4
"Wallingford School District","Special Education",71,51,71.8,9,12.7,11,15.5
"Waterbury School District","Non-Special Education",1079,762,70.6,23,2.1,294,27.2
"Waterbury School District","Special Education",221,102,46.2,41,18.6,78,35.3
"Waterford School District","Non-Special Education",208,202,97.1,"*","*","*","*"
"Waterford School District","Special Education",35,20,57.1,"*","*","*","*"
"Watertown School District","Non-Special Education",237,218,92.0,"*","*","*","*"
"Watertown School District","Special Education",35,18,51.4,"*","*","*","*"
"West Hartford School District","Non-Special Education",747,709,94.9,10,1.3,"*","*"
"West Hartford School District","Special Education",88,69,78.4,14,15.9,"*","*"
"West Haven School District","Non-Special Education",397,284,71.5,22,5.5,91,22.9
"West Haven School District","Special Education",42,22,52.4,12,28.6,8,19.0
"Westbrook School District","Non-Special Education",71,69,97.2,"*","*","*","*"
"Westbrook School District","Special Education",7,6,85.7,"*","*","*","*"
"Weston School District","Non-Special Education",186,186,100.0,"*","*","*","*"
"Weston School District","Special Education",22,20,90.9,"*","*","*","*"
"Westport School District","Non-Special Education",410,408,99.5,"*","*","*","*"
"Westport School District","Special Education",56,52,92.9,"*","*","*","*"
"Wethersfield School District","Non-Special Education",242,231,95.5,"*","*","*","*"
"Wethersfield School District","Special Education",28,13,46.4,"*","*","*","*"
"Wilton School District","Non-Special Education",274,270,98.5,"*","*","*","*"
"Wilton School District","Special Education",52,43,82.7,"*","*","*","*"
"Windham School District","Non-Special Education",161,127,78.9,10,6.2,"*","*"
"Windham School District","Special Education",37,22,59.5,10,27.0,"*","*"
"Windsor Locks School District","Non-Special Education",124,117,94.4,"*","*","*","*"
"Windsor Locks School District","Special Education",16,10,62.5,"*","*","*","*"
"Windsor School District","Non-Special Education",308,260,84.4,26,8.4,22,7.1
"Windsor School District","Special Education",47,29,61.7,9,19.1,9,19.1
"Wolcott School District","Non-Special Education",197,188,95.4,"*","*","*","*"
"Wolcott School District","Special Education",24,20,83.3,"*","*","*","*"
"Woodstock Academy District","Non-Special Education",266,258,97.0,"*","*","*","*"
"Woodstock Academy District","Special Education",18,12,66.7,"*","*","*","*"

