"Four-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Graduates",
"Lisbon School District","Special Education","*","*","*"
"Litchfield School District","Non-Special Education","*","*","*"
"Litchfield School District","Special Education","*","*","*"
"Madison School District","Non-Special Education",283,278,98.2
"Madison School District","Special Education",37,32,86.5
"Manchester School District","Non-Special Education",377,331,87.8
"Manchester School District","Special Education",77,42,54.5
"Meriden School District","Non-Special Education",509,423,83.1
"Meriden School District","Special Education",106,45,42.5
"Middletown School District","Non-Special Education",280,250,89.3
"Middletown School District","Special Education",54,26,48.1
"Milford School District","Non-Special Education",433,408,94.2
"Milford School District","Special Education",75,60,80.0
"Monroe School District","Non-Special Education",265,261,98.5
"Monroe School District","Special Education",35,28,80.0
"Montville School District","Non-Special Education",173,155,89.6
"Montville School District","Special Education",20,16,80.0
"Naugatuck School District","Non-Special Education",284,237,83.5
"Naugatuck School District","Special Education",49,36,73.5
"New Britain School District","Non-Special Education",569,380,66.8
"New Britain School District","Special Education",87,37,42.5
"New Canaan School District","Non-Special Education",277,276,99.6
"New Canaan School District","Special Education",35,31,88.6
"New Fairfield School District","Non-Special Education",213,209,98.1
"New Fairfield School District","Special Education",26,22,84.6
"New Haven School District","Non-Special Education",1140,898,78.8
"New Haven School District","Special Education",169,90,53.3
"New London School District","Non-Special Education",190,144,75.8
"New London School District","Special Education",38,18,47.4
"New Milford School District","Non-Special Education",345,323,93.6
"New Milford School District","Special Education",38,21,55.3
"Newington School District","Non-Special Education",329,317,96.4
"Newington School District","Special Education",35,21,60.0
"Newtown School District","Non-Special Education",379,377,99.5
"Newtown School District","Special Education",44,32,72.7
"North Branford School District","Non-Special Education",120,110,91.7
"North Branford School District","Special Education",30,26,86.7
"North Haven School District","Non-Special Education",285,266,93.3
"North Haven School District","Special Education",35,17,48.6
"North Stonington School District","Non-Special Education",49,47,95.9
"North Stonington School District","Special Education",7,7,100.0
"Norwalk School District","Non-Special Education",719,617,85.8
"Norwalk School District","Special Education",103,72,69.9
"Norwich Free Academy District","Non-Special Education",538,488,90.7
"Norwich Free Academy District","Special Education",75,45,60.0
"Old Saybrook School District","Non-Special Education",123,117,95.1
"Old Saybrook School District","Special Education",14,9,64.3
"Oxford School District","Non-Special Education",165,162,98.2
"Oxford School District","Special Education",9,6,66.7
"Plainfield School District","Non-Special Education",149,135,90.6
"Plainfield School District","Special Education",25,10,40.0
"Plainville School District","Non-Special Education",151,141,93.4
"Plainville School District","Special Education",25,15,60.0
"Plymouth School District","Non-Special Education",117,109,93.2
"Plymouth School District","Special Education",22,12,54.5
"Portland School District","Non-Special Education",101,96,95.0
"Portland School District","Special Education",11,8,72.7
"Putnam School District","Non-Special Education",52,46,88.5
"Putnam School District","Special Education",14,10,71.4
"Regional School District 01","Non-Special Education",103,93,90.3
"Regional School District 01","Special Education",18,15,83.3
"Regional School District 04","Non-Special Education",117,115,98.3
"Regional School District 04","Special Education",19,18,94.7
"Regional School District 05","Non-Special Education",363,358,98.6
"Regional School District 05","Special Education",57,46,80.7
"Regional School District 06","Non-Special Education",76,73,96.1
"Regional School District 06","Special Education",17,14,82.4
"Regional School District 07","Non-Special Education",186,178,95.7
"Regional School District 07","Special Education",25,17,68.0
"Regional School District 08","Non-Special Education",250,240,96.0
"Regional School District 08","Special Education",47,36,76.6
"Regional School District 09","Non-Special Education",218,211,96.8
"Regional School District 09","Special Education",34,31,91.2
"Regional School District 10","Non-Special Education",186,181,97.3
"Regional School District 10","Special Education",32,25,78.1
"Regional School District 11","Non-Special Education","*","*","*"
"Regional School District 11","Special Education","*","*","*"
"Regional School District 12","Non-Special Education",63,62,98.4
"Regional School District 12","Special Education",18,14,77.8
"Regional School District 13","Non-Special Education",109,107,98.2
"Regional School District 13","Special Education",25,18,72.0
"Regional School District 14","Non-Special Education",187,184,98.4
"Regional School District 14","Special Education",24,20,83.3
"Regional School District 15","Non-Special Education",283,279,98.6
"Regional School District 15","Special Education",46,39,84.8
"Regional School District 16","Non-Special Education",158,154,97.5
"Regional School District 16","Special Education",23,14,60.9
"Regional School District 17","Non-Special Education",124,124,100.0
"Regional School District 17","Special Education",29,26,89.7
"Regional School District 18","Non-Special Education",100,99,99.0
"Regional School District 18","Special Education",8,6,75.0
"Regional School District 19","Non-Special Education",248,239,96.4
"Regional School District 19","Special Education",45,34,75.6
"Ridgefield School District","Non-Special Education",418,412,98.6
"Ridgefield School District","Special Education",41,36,87.8
"Rocky Hill School District","Non-Special Education",168,155,92.3
"Rocky Hill School District","Special Education",15,13,86.7
"Seymour School District","Non-Special Education",123,112,91.1
"Seymour School District","Special Education",15,8,53.3
"Shelton School District","Non-Special Education",336,320,95.2
"Shelton School District","Special Education",33,17,51.5
"Simsbury School District","Non-Special Education",346,340,98.3
"Simsbury School District","Special Education",54,38,70.4
"Somers School District","Non-Special Education",115,114,99.1
"Somers School District","Special Education",16,13,81.3
"South Windsor School District","Non-Special Education",292,286,97.9
"South Windsor School District","Special Education",56,40,71.4
"Southington School District","Non-Special Education",440,429,97.5
"Southington School District","Special Education",72,49,68.1
"Stafford School District","Non-Special Education",125,119,95.2
"Stafford School District","Special Education",17,13,76.5
"Stamford Academy District","Non-Special Education",47,"*","*"
"Stamford Academy District","Special Education",10,"*","*"
"Stamford School District","Non-Special Education",1050,961,91.5
"Stamford School District","Special Education",150,106,70.7
"Stonington School District","Non-Special Education",161,158,98.1
"Stonington School District","Special Education",16,7,43.8
"Stratford School District","Non-Special Education",582,549,94.3
"Stratford School District","Special Education",64,45,70.3
"Suffield School District","Non-Special Education",188,183,97.3
"Suffield School District","Special Education",26,21,80.8
"The Bridge Academy District","Non-Special Education","*","*","*"
"The Bridge Academy District","Special Education","*","*","*"
"The Gilbert School District","Non-Special Education",79,72,91.1
"The Gilbert School District","Special Education",11,7,63.6
"Thomaston School District","Non-Special Education",60,58,96.7
"Thomaston School District","Special Education",12,9,75.0
"Thompson School District","Non-Special Education",76,70,92.1
"Thompson School District","Special Education",10,8,80.0
"Tolland School District","Non-Special Education",204,193,94.6
"Tolland School District","Special Education",25,16,64.0
"Torrington School District","Non-Special Education",231,204,88.3
"Torrington School District","Special Education",41,24,58.5
"Trumbull School District","Non-Special Education",500,491,98.2
"Trumbull School District","Special Education",55,42,76.4
"Unified School District #1","Non-Special Education",240,"*","*"
"Unified School District #1","Special Education",87,"*","*"
"Unified School District #2","Non-Special Education",30,8,26.7
"Unified School District #2","Special Education",35,10,28.6
"Vernon School District","Non-Special Education",257,224,87.2
"Vernon School District","Special Education",42,22,52.4
"Wallingford School District","Non-Special Education",418,395,94.5
"Wallingford School District","Special Education",72,53,73.6
"Waterbury School District","Non-Special Education",1114,809,72.6
"Waterbury School District","Special Education",236,107,45.3
"Waterford School District","Non-Special Education",180,172,95.6
"Waterford School District","Special Education",23,15,65.2
"Watertown School District","Non-Special Education",204,195,95.6
"Watertown School District","Special Education",26,16,61.5
"West Hartford School District","Non-Special Education",649,635,97.8
"West Hartford School District","Special Education",92,62,67.4
"West Haven School District","Non-Special Education",375,291,77.6
"West Haven School District","Special Education",49,21,42.9
"Westbrook School District","Non-Special Education","*","*","*"
"Westbrook School District","Special Education","*","*","*"
"Weston School District","Non-Special Education",162,161,99.4
"Weston School District","Special Education",18,14,77.8
"Westport School District","Non-Special Education",386,384,99.5
"Westport School District","Special Education",66,58,87.9
"Wethersfield School District","Non-Special Education",278,265,95.3
"Wethersfield School District","Special Education",29,17,58.6
"Wilton School District","Non-Special Education",260,257,98.8
"Wilton School District","Special Education",41,35,85.4
"Windham School District","Non-Special Education",154,121,78.6
"Windham School District","Special Education",29,13,44.8
"Windsor Locks School District","Non-Special Education",126,119,94.4
"Windsor Locks School District","Special Education",12,7,58.3
"Windsor School District","Non-Special Education",253,236,93.3
"Windsor School District","Special Education",45,30,66.7
"Wolcott School District","Non-Special Education",225,219,97.3
"Wolcott School District","Special Education",20,14,70.0
"Woodstock Academy District","Non-Special Education",255,247,96.9
"Woodstock Academy District","Special Education",23,18,78.3

