"Four-Year Graduation Rates, 2014-15"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"East Windsor School District","Special Education",20,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",63,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",9,"*","*","*","*"
"Ellington School District","Non-Special Education",171,"*","*","*","*"
"Ellington School District","Special Education",35,"*","*","*","*"
"Elm City College Preparatory School District","Non-Special Education","*","*","*","*","*"
"Elm City College Preparatory School District","Special Education","*","*","*","*","*"
"Enfield School District","Non-Special Education",338,6,1.8,28,8.3
"Enfield School District","Special Education",54,9,16.7,9,16.7
"Explorations District","Non-Special Education",13,"*","*","*","*"
"Explorations District","Special Education",10,"*","*","*","*"
"Fairfield School District","Non-Special Education",624,6,1.0,9,1.4
"Fairfield School District","Special Education",93,18,19.4,8,8.6
"Farmington School District","Non-Special Education",295,"*","*","*","*"
"Farmington School District","Special Education",40,"*","*","*","*"
"Glastonbury School District","Non-Special Education",469,"*","*","*","*"
"Glastonbury School District","Special Education",55,"*","*","*","*"
"Granby School District","Non-Special Education",149,"*","*","*","*"
"Granby School District","Special Education",16,"*","*","*","*"
"Greenwich School District","Non-Special Education",558,9,1.6,"*","*"
"Greenwich School District","Special Education",89,15,16.9,"*","*"
"Griswold School District","Non-Special Education",123,"*","*","*","*"
"Griswold School District","Special Education",25,"*","*","*","*"
"Groton School District","Non-Special Education",239,"*","*","*","*"
"Groton School District","Special Education",33,"*","*","*","*"
"Guilford School District","Non-Special Education",242,"*","*","*","*"
"Guilford School District","Special Education",32,"*","*","*","*"
"Hamden School District","Non-Special Education",385,7,1.8,20,5.2
"Hamden School District","Special Education",80,16,20.0,11,13.8
"Hartford School District","Non-Special Education",1215,102,8.4,211,17.4
"Hartford School District","Special Education",269,70,26.0,60,22.3
"Killingly School District","Non-Special Education",170,11,6.5,17,10.0
"Killingly School District","Special Education",33,10,30.3,9,27.3
"Learn","Non-Special Education",150,"*","*","*","*"
"Learn","Special Education",26,"*","*","*","*"
"Lebanon School District","Non-Special Education",80,"*","*","*","*"
"Lebanon School District","Special Education",15,"*","*","*","*"
"Ledyard School District","Non-Special Education",199,"*","*","*","*"
"Ledyard School District","Special Education",34,"*","*","*","*"
"Litchfield School District","Non-Special Education",59,"*","*","*","*"
"Litchfield School District","Special Education",11,"*","*","*","*"
"Madison School District","Non-Special Education",268,"*","*","*","*"
"Madison School District","Special Education",41,"*","*","*","*"
"Manchester School District","Non-Special Education",372,12,3.2,38,10.2
"Manchester School District","Special Education",82,17,20.7,20,24.4
"Meriden School District","Non-Special Education",509,19,3.7,84,16.5
"Meriden School District","Special Education",117,30,25.6,30,25.6
"Middletown School District","Non-Special Education",267,"*","*","*","*"
"Middletown School District","Special Education",48,"*","*","*","*"
"Milford School District","Non-Special Education",384,10,2.6,"*","*"
"Milford School District","Special Education",75,17,22.7,"*","*"
"Monroe School District","Non-Special Education",294,"*","*","*","*"
"Monroe School District","Special Education",27,"*","*","*","*"
"Montville School District","Non-Special Education",162,"*","*","*","*"
"Montville School District","Special Education",17,"*","*","*","*"
"Naugatuck School District","Non-Special Education",283,9,3.2,23,8.1
"Naugatuck School District","Special Education",54,8,14.8,9,16.7
"New Britain School District","Non-Special Education",524,43,8.2,95,18.1
"New Britain School District","Special Education",136,29,21.3,40,29.4
"New Canaan School District","Non-Special Education",269,"*","*","*","*"
"New Canaan School District","Special Education",38,"*","*","*","*"
"New Fairfield School District","Non-Special Education",240,"*","*","*","*"
"New Fairfield School District","Special Education",24,"*","*","*","*"
"New Haven School District","Non-Special Education",1277,68,5.3,214,16.8
"New Haven School District","Special Education",208,51,24.5,37,17.8
"New London School District","Non-Special Education",154,"*","*",26,16.9
"New London School District","Special Education",48,"*","*",9,18.8
"New Milford School District","Non-Special Education",305,"*","*",10,3.3
"New Milford School District","Special Education",66,"*","*",13,19.7
"Newington School District","Non-Special Education",308,"*","*","*","*"
"Newington School District","Special Education",50,"*","*","*","*"
"Newtown School District","Non-Special Education",414,"*","*","*","*"
"Newtown School District","Special Education",39,"*","*","*","*"
"North Branford School District","Non-Special Education",141,"*","*","*","*"
"North Branford School District","Special Education",25,"*","*","*","*"
"North Haven School District","Non-Special Education",256,"*","*","*","*"
"North Haven School District","Special Education",40,"*","*","*","*"
"North Stonington School District","Non-Special Education",45,"*","*","*","*"
"North Stonington School District","Special Education",6,"*","*","*","*"
"Norwalk School District","Non-Special Education",773,11,1.4,49,6.3
"Norwalk School District","Special Education",103,14,13.6,17,16.5
"Norwich Free Academy District","Non-Special Education",513,"*","*",44,8.6
"Norwich Free Academy District","Special Education",77,"*","*",20,26.0
"Old Saybrook School District","Non-Special Education",106,"*","*","*","*"
"Old Saybrook School District","Special Education",20,"*","*","*","*"
"Oxford School District","Non-Special Education",114,"*","*","*","*"
"Oxford School District","Special Education",11,"*","*","*","*"
"Plainfield School District","Non-Special Education",140,"*","*","*","*"
"Plainfield School District","Special Education",28,"*","*","*","*"
"Plainville School District","Non-Special Education",155,"*","*",10,6.5
"Plainville School District","Special Education",27,"*","*",6,22.2
"Plymouth School District","Non-Special Education",100,"*","*","*","*"
"Plymouth School District","Special Education",21,"*","*","*","*"
"Portland School District","Non-Special Education",82,"*","*","*","*"
"Portland School District","Special Education",10,"*","*","*","*"
"Putnam School District","Non-Special Education",52,"*","*","*","*"
"Putnam School District","Special Education",13,"*","*","*","*"
"Regional School District 01","Non-Special Education",75,"*","*","*","*"
"Regional School District 01","Special Education",12,"*","*","*","*"
"Regional School District 04","Non-Special Education",155,"*","*","*","*"
"Regional School District 04","Special Education",27,"*","*","*","*"
"Regional School District 05","Non-Special Education",376,"*","*","*","*"
"Regional School District 05","Special Education",41,"*","*","*","*"
"Regional School District 06","Non-Special Education",76,"*","*","*","*"
"Regional School District 06","Special Education",11,"*","*","*","*"
"Regional School District 07","Non-Special Education",125,"*","*","*","*"
"Regional School District 07","Special Education",18,"*","*","*","*"
"Regional School District 08","Non-Special Education",234,"*","*","*","*"
"Regional School District 08","Special Education",35,"*","*","*","*"
"Regional School District 09","Non-Special Education",229,"*","*","*","*"
"Regional School District 09","Special Education",27,"*","*","*","*"
"Regional School District 10","Non-Special Education",168,"*","*","*","*"
"Regional School District 10","Special Education",23,"*","*","*","*"
"Regional School District 11","Non-Special Education",38,"*","*","*","*"
"Regional School District 11","Special Education",13,"*","*","*","*"
"Regional School District 12","Non-Special Education",56,"*","*","*","*"
"Regional School District 12","Special Education",16,"*","*","*","*"
"Regional School District 13","Non-Special Education",120,"*","*","*","*"
"Regional School District 13","Special Education",34,"*","*","*","*"
"Regional School District 14","Non-Special Education",165,"*","*","*","*"
"Regional School District 14","Special Education",24,"*","*","*","*"
"Regional School District 15","Non-Special Education",260,"*","*","*","*"
"Regional School District 15","Special Education",33,"*","*","*","*"
"Regional School District 16","Non-Special Education",157,"*","*","*","*"
"Regional School District 16","Special Education",10,"*","*","*","*"
"Regional School District 17","Non-Special Education",147,"*","*","*","*"
"Regional School District 17","Special Education",21,"*","*","*","*"
"Regional School District 18","Non-Special Education",78,"*","*","*","*"
"Regional School District 18","Special Education",11,"*","*","*","*"
"Regional School District 19","Non-Special Education",251,7,2.8,"*","*"
"Regional School District 19","Special Education",41,10,24.4,"*","*"
"Ridgefield School District","Non-Special Education",387,"*","*","*","*"
"Ridgefield School District","Special Education",59,"*","*","*","*"
"Rocky Hill School District","Non-Special Education",174,"*","*","*","*"
"Rocky Hill School District","Special Education",22,"*","*","*","*"
"Seymour School District","Non-Special Education",131,"*","*","*","*"
"Seymour School District","Special Education",17,"*","*","*","*"
"Shelton School District","Non-Special Education",328,"*","*","*","*"
"Shelton School District","Special Education",42,"*","*","*","*"
"Simsbury School District","Non-Special Education",328,"*","*","*","*"
"Simsbury School District","Special Education",54,"*","*","*","*"
"Somers School District","Non-Special Education",117,"*","*","*","*"
"Somers School District","Special Education",13,"*","*","*","*"
"South Windsor School District","Non-Special Education",303,"*","*",9,3.0
"South Windsor School District","Special Education",52,"*","*",6,11.5
"Southington School District","Non-Special Education",437,"*","*","*","*"
"Southington School District","Special Education",82,"*","*","*","*"
"Stafford School District","Non-Special Education",75,"*","*","*","*"
"Stafford School District","Special Education",17,"*","*","*","*"
"Stamford Academy District","Non-Special Education",40,"*","*","*","*"
"Stamford Academy District","Special Education",8,"*","*","*","*"
"Stamford School District","Non-Special Education",1046,28,2.7,75,7.2
"Stamford School District","Special Education",171,38,22.2,10,5.8
"Stonington School District","Non-Special Education",179,"*","*","*","*"
"Stonington School District","Special Education",21,"*","*","*","*"
"Stratford School District","Non-Special Education",493,9,1.8,"*","*"
"Stratford School District","Special Education",42,12,28.6,"*","*"
"Suffield School District","Non-Special Education",185,"*","*","*","*"
"Suffield School District","Special Education",27,"*","*","*","*"
"The Bridge Academy District","Non-Special Education","*","*","*","*","*"
"The Bridge Academy District","Special Education","*","*","*","*","*"
"The Gilbert School District","Non-Special Education",74,"*","*","*","*"
"The Gilbert School District","Special Education",16,"*","*","*","*"
"Thomaston School District","Non-Special Education",55,"*","*","*","*"
"Thomaston School District","Special Education",8,"*","*","*","*"
"Thompson School District","Non-Special Education",61,"*","*","*","*"
"Thompson School District","Special Education",9,"*","*","*","*"
"Tolland School District","Non-Special Education",193,"*","*","*","*"
"Tolland School District","Special Education",19,"*","*","*","*"
"Torrington School District","Non-Special Education",214,7,3.3,14,6.5
"Torrington School District","Special Education",68,13,19.1,12,17.6
"Trumbull School District","Non-Special Education",487,"*","*","*","*"
"Trumbull School District","Special Education",47,"*","*","*","*"
"Unified School District #1","Non-Special Education",240,41,17.1,195,81.3
"Unified School District #1","Special Education",172,31,18.0,135,78.5
"Unified School District #2","Non-Special Education",12,"*","*",10,83.3
"Unified School District #2","Special Education",30,"*","*",18,60.0
"Vernon School District","Non-Special Education",198,"*","*",17,8.6
"Vernon School District","Special Education",46,"*","*",11,23.9
"Wallingford School District","Non-Special Education",431,"*","*",14,3.2
"Wallingford School District","Special Education",71,"*","*",8,11.3
"Waterbury School District","Non-Special Education",1096,24,2.2,252,23.0
"Waterbury School District","Special Education",248,48,19.4,89,35.9
"Waterford School District","Non-Special Education",181,"*","*","*","*"
"Waterford School District","Special Education",35,"*","*","*","*"
"Watertown School District","Non-Special Education",173,"*","*","*","*"
"Watertown School District","Special Education",32,"*","*","*","*"
"West Hartford School District","Non-Special Education",631,"*","*",10,1.6
"West Hartford School District","Special Education",107,"*","*",12,11.2
"West Haven School District","Non-Special Education",377,9,2.4,66,17.5
"West Haven School District","Special Education",47,10,21.3,10,21.3
"Westbrook School District","Non-Special Education",72,"*","*","*","*"
"Westbrook School District","Special Education",6,"*","*","*","*"
"Weston School District","Non-Special Education",143,"*","*","*","*"
"Weston School District","Special Education",24,"*","*","*","*"
"Westport School District","Non-Special Education",412,"*","*","*","*"
"Westport School District","Special Education",50,"*","*","*","*"
"Wethersfield School District","Non-Special Education",252,"*","*","*","*"
"Wethersfield School District","Special Education",32,"*","*","*","*"
"Wilton School District","Non-Special Education",279,"*","*","*","*"
"Wilton School District","Special Education",51,"*","*","*","*"
"Windham School District","Non-Special Education",100,"*","*",10,10.0
"Windham School District","Special Education",30,"*","*",6,20.0
"Windsor Locks School District","Non-Special Education",112,"*","*","*","*"
"Windsor Locks School District","Special Education",19,"*","*","*","*"
"Windsor School District","Non-Special Education",251,"*","*","*","*"
"Windsor School District","Special Education",59,"*","*","*","*"
"Wolcott School District","Non-Special Education",156,"*","*","*","*"
"Wolcott School District","Special Education",24,"*","*","*","*"
"Woodstock Academy District","Non-Special Education",268,"*","*","*","*"
"Woodstock Academy District","Special Education",18,"*","*","*","*"

